Unnamed: 0,SubAntioquia,SubArauca,SubAtlantico,SubBogota,SubBolivar,SubBoyaca-Casanare,SubCaqueta,SubCauca-Narinno,SubCordoba-Sucre,SubCQR,SubGCM,SubHuila-Tolima,SubMeta,SubNorteSantander,SubPutumayo,SubSantander,SubValle
2030-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 06:00:00,0.031086397,0.094969676,0.018970515,0.036234234,0.010952248,0.051004847,0.029125779,0.043288809,0.026185315,0.037745417,0.046839516,0.047203766,0.079063331,0.012282706,0.048252737,0.039108663,0.039676893
2030-01-01 07:00:00,0.228065644,0.319494456,0.207959128,0.239216736,0.193847766,0.153090558,0.069020929,0.28172514,0.223995139,0.25753705,0.259456111,0.265834314,0.31181659,0.277052033,0.200182125,0.245460318,0.266121088
2030-01-01 08:00:00,0.450438888,0.53784664,0.430349173,0.235745569,0.416597711,0.580578984,0.276047997,0.533181155,0.448757448,0.497498579,0.48587544,0.497725792,0.546611868,0.504614315,0.498735781,0.474569726,0.3998605
2030-01-01 09:00:00,0.646317314,0.666253205,0.62273545,0.663310113,0.611640861,0.78667792,0.447190383,0.749183728,0.642863418,0.702256256,0.677734644,0.695864765,0.741221278,0.702354687,0.42386946,0.671377697,0.662614731
